$ ION e  He [+0] (G)  e  He [+1] (G) e
& RC GOTO CODE 2.3.9A #INTERP2D
 65 1.0e+00 1.0e+04  2
 30 1.0e+08 1.0e+16  2
 8.0013016584723e-10    1.1974792454531e-09     1.7141691749865e-09
 2.3617633497783e-09    3.1480471063978e-09     4.0763724373877e-09
 5.1450781864756e-09    6.3470603790685e-09     7.6696034590636e-09
 9.0945704354774e-09    1.0598998128224e-08     1.2156075115821e-08
 1.3736414988981e-08    1.5309501731386e-08     1.6845156648812e-08
 1.8314902184889e-08    1.9693113535130e-08     2.0957892614329e-08
 2.2091635572891e-08    2.3081298955156e-08     2.3918395443802e-08
 2.4598766123312e-08    2.5122184522373e-08     2.5491847930109e-08
 2.5713807206048e-08    2.5796378568024e-08     2.5749571673886e-08
 2.5584558948772e-08    2.5313202458868e-08     2.4947647221297e-08
 2.4499983902400e-08    2.3981979406409e-08     2.3404870769326e-08
 2.2779215846183e-08    2.2114793285438e-08     2.1420543994951e-08
 2.0704546511572e-08    1.9974019234688e-08     1.9235343213737e-08
 1.8494100012409e-08    1.7755120015976e-08     1.7022537360180e-08
 1.6299848408454e-08    1.5589971369454e-08     1.4895305223723e-08
 1.4217786616257e-08    1.3558943775702e-08     1.2919946848451e-08
 1.2301654296208e-08    1.1704655207081e-08
 4.3944424580292e-19    1.0800876443483e-17     1.7502081445117e-16
 1.9672899184716e-15    1.6055241455489e-14     9.8994205622571e-14
 4.7785234478812e-13    1.8645558106059e-12     6.0529048419702e-12
 1.6773599377606e-11    4.0590318174954e-11     8.7490413922102e-11
 1.7087731546507e-10    3.0689125865099e-10     5.1323163409797e-10
 8.0778558616479e-10    1.2073362068638e-09     1.7264866497199e-09
 2.3767945675006e-09    3.1660395779589e-09     4.0975612166951e-09
 5.1696729682597e-09    6.3752288479159e-09     7.7014541244981e-09
 9.1301380695063e-09    1.0638234144870e-08     1.2198844143975e-08
 1.3782497796355e-08    1.5358603771141e-08     1.6896920908851e-08
 1.8368924768585e-08    1.9748960391771e-08     2.1015116041422e-08
 2.2149789413218e-08    2.3139951752355e-08     2.3977141143701e-08
 2.4657232183099e-08    2.5180037498580e-08     2.5548796762205e-08
 2.5769604497260e-08    2.5850820204171e-08     2.5802495125080e-08
 2.5635840579925e-08    2.5362754142554e-08     2.4995412507767e-08
 2.4545933961329e-08    2.4026108916330e-08     2.3447193895302e-08
 2.2819762414748e-08    2.2153605238274e-08     2.1457672179004e-08
 2.0740047842843e-08    2.0007954255428e-08     1.9267774047911e-08
 1.8525088711587e-08    1.7784727277145e-08     1.7050821588170e-08
 1.6326865088608e-08    1.5615772710959e-08     1.4919940030601e-08
 1.4241300341570e-08    1.3581378714894e-08     1.2941342430085e-08
 1.2322047432137e-08    1.1724080669307e-08
 5.1673677682747e-19    1.2463930379590e-17     1.9840786026672e-16
 2.1930947917641e-15    1.7620307626212e-14     1.0709390195396e-13
 5.1030857118650e-13    1.9687228800523e-12     6.3292573677740e-12
 1.7397437894127e-11    4.1820254734744e-11     8.9657664247055e-11
 1.7435967408852e-10    3.1208266412110e-10     5.2051845534265e-10
 8.1753553978770e-10    1.2198991461575e-09     1.7422017266472e-09
 2.3959968230985e-09    3.1890604362935e-09     4.1247203306327e-09
 5.2012620026762e-09    6.4114901191218e-09     7.7425581222851e-09
 9.1761638214996e-09    1.0689155474012e-08     1.2254523544754e-08
 1.3842688296283e-08    1.5422958019356e-08     1.6965005964861e-08
 1.8440240704374e-08    1.9822960769461e-08     2.1091228541662e-08
 2.2227435234747e-08    2.3218562806379e-08     2.4056174457399e-08
 2.4736181262672e-08    2.5258440665145e-08     2.5626242658183e-08
 2.5845735075199e-08    2.5925331567516e-08     2.5875136605574e-08
 2.5706412423335e-08    2.5431104144748e-08     2.5061431905195e-08
 2.4609552839616e-08    2.4087291361369e-08     2.3505933074710e-08
 2.2876075744442e-08    2.2207529759262e-08     2.1509260242862e-08
 2.0789363180310e-08    2.0055068480738e-08     1.9312763631440e-08
 1.8568032435051e-08    1.7825704168765e-08     1.7089909320108e-08
 1.6364138805789e-08    1.5651304249439e-08     1.4953797475299e-08
 1.4273547867814e-08    1.3612076655829e-08     1.2970547512837e-08
 1.2349813129084e-08    1.1750457616672e-08
 6.2721846342343e-19    1.4812215373555e-17     2.3101107892764e-16
 2.5036867300013e-15    1.9743537070305e-14     1.1793303918832e-13
 5.5318353664932e-13    2.1047334510433e-12     6.6864975203080e-12
 1.8197286914653e-11    4.3387096672146e-11     9.2405263025412e-11
 1.7875928294290e-10    3.1862614085102e-10     5.2968971005941e-10
 8.2979730762930e-10    1.2356940892285e-09     1.7619612051139e-09
 2.4201489429583e-09    3.2180306785206e-09     4.1589216338634e-09
 5.2410749496981e-09    6.4572367034959e-09     7.7944739337406e-09
 9.2343734421713e-09    1.0753654814755e-08     1.2325171278480e-08
 1.3919206920992e-08    1.5504943727925e-08     1.7051945564698e-08
 1.8531533372032e-08    1.9917942345581e-08     2.1189196300714e-08
 2.2327671459120e-08    2.3320355962569e-08     2.4158837230555e-08
 2.4839065102538e-08    2.5360946811364e-08     2.5727829833601e-08
 2.5945924176571e-08    2.6023707755990e-08     2.5971349222611e-08
 2.5800173147954e-08    2.5522183778752e-08     2.5149656134201e-08
 2.4694797276123e-08    2.4169476135534e-08     2.3585017200804e-08
 2.2952051456611e-08    2.2280416979044e-08     2.1579101312325e-08
 2.0856217968036e-08    2.0119009942817e-08     1.9373873885613e-08
 1.8626399383144e-08    1.7881418680649e-08     1.7143062971904e-08
 1.6414822146456e-08    1.5699605553917e-08     1.4999801929637e-08
 1.4317337122904e-08    1.3653728681547e-08     1.3010136683969e-08
 1.2387410477563e-08    1.1786131191143e-08
 7.8998522831551e-19    1.8213902605480e-17     2.7738353880564e-16
 2.9368506707215e-15    2.2644476667844e-14     1.3244075079759e-13
 6.0945251231310e-13    2.2800673676681e-12     7.1399214125818e-12
 1.9199482053685e-11    4.5330382155815e-11     9.5787026007251e-11
 1.8414565248623e-10    3.2661118942757e-10     5.4086472031386e-10
 8.4473712175008e-10    1.2549586499943e-09     1.7861043895039e-09
 2.4497252628476e-09    3.2535926598383e-09     4.2010048664659e-09
 5.2901720640210e-09    6.5137646133176e-09     7.8587400666604e-09
 9.3065464700273e-09    1.0833744068363e-08     1.2413017170029e-08
 1.4014482819702e-08    1.5607168193422e-08     1.7160502804232e-08
 1.8645699292613e-08    2.0036913517238e-08     2.1312119432534e-08
 2.2453671461418e-08    2.3448561215957e-08     2.4288401213238e-08
 2.4969183982356e-08    2.5490872968371e-08     2.5856881527514e-08
 2.6073491730734e-08    2.6149256709214e-08     2.6094420924240e-08
 2.5920383259425e-08    2.5639219112318e-08     2.5263270217650e-08
 2.4804804988593e-08    2.4275747717613e-08     2.3687471903645e-08
 2.3050651059570e-08    2.2375159372957e-08     2.1670014315042e-08
 2.0943353509284e-08    2.0202438726853e-08     1.9453680611616e-08
 1.8702678575499e-08    1.7954271154210e-08     1.7212592931817e-08
 1.6481134898936e-08    1.5762805784455e-08     1.5059992489332e-08
 1.4374618252652e-08    1.3708197597882e-08     1.3061887449604e-08
 1.2436534083088e-08    1.1832715781571e-08
 1.0356084686291e-18    2.3220394176594e-17     3.4377164893380e-16
 3.5386998720134e-15    2.6551428379499e-14     1.5138381782290e-13
 6.8080546322952e-13    2.4966291979771e-12     7.6874897986492e-12
 2.0387802021021e-11    4.7602542928811e-11     9.9702591598163e-11
 1.9034604599488e-10    3.3578283686893e-10     5.5371312012164e-10
 8.6197673116565e-10    1.2773148168401e-09     1.8143184458009e-09
 2.4845534392003e-09    3.2957925982982e-09     4.2513082093656e-09
 5.3492459960428e-09    6.5821681426949e-09     7.9368818398094e-09
 9.3946502431590e-09    1.0931826175634e-08     1.2520878081661e-08
 1.4131712728141e-08    1.5733164865495e-08     1.7294498852302e-08
 1.8786795561164e-08    2.0184115331495e-08     2.1464372875542e-08
 2.2609897462559e-08    2.3607685915780e-08     2.4449381711553e-08
 2.5131029114999e-08    2.5652659171036e-08     2.6017764120734e-08
 2.6232712123475e-08    2.6306146089900e-08     2.6248401015256e-08
 2.6070964679646e-08    2.5785997841452e-08     2.5405922599635e-08
 2.4943081657311e-08    2.4409466780160e-08     2.3816511674791e-08
 2.3174942604649e-08    2.2494679083380e-08     2.1784776709199e-08
 2.1053404420272e-08    2.0307849006994e-08     1.9554540451384e-08
 1.8799092502127e-08    1.8046353743426e-08     1.7300465235984e-08
 1.6564921567609e-08    1.5842632830153e-08     1.5135985633312e-08
 1.4446901773213e-08    1.3776893597434e-08     1.3127115456280e-08
 1.2498410906838e-08    1.1891355552829e-08
 1.4092844212430e-18    3.0551713023398e-17     4.3698071257191e-16
 4.3466785052281e-15    3.1563314805271e-14     1.7464278050998e-13
 7.6497919934406e-13    2.7434034715346e-12     8.2940056243012e-12
 2.1675829545243e-11    5.0028738480493e-11     1.0384810857062e-10
 1.9689415428612e-10    3.4549696151994e-10     5.6742382093440e-10
 8.8057847904376e-10    1.3017667147952e-09     1.8456401017126e-09
 2.5238083531291e-09    3.3440553498635e-09     4.3096165373421e-09
 5.4185429271927e-09    6.6632416938182e-09     8.0303102356952e-09
 9.5007593660623e-09    1.1050663690420e-08     1.2652206031804e-08
 1.4275017933203e-08    1.5887684542186e-08     1.7459257692120e-08
 1.8960650031215e-08    2.0365801091935e-08     2.1652551762326e-08
 2.2803201274239e-08    2.3804755110385e-08     2.4648897937526e-08
 2.5331741189720e-08    2.5853402649724e-08     2.6217474953153e-08
 2.6430435102225e-08    2.6501038878692e-08     2.6439734543680e-08
 2.6258120636303e-08    2.5968463916480e-08     2.5583286039930e-08
 2.5115021615151e-08    2.4575745863829e-08     2.3976967049252e-08
 2.3329476939415e-08    2.2643251601087e-08     2.1927394548665e-08
 2.1190114490090e-08    2.0438730468718e-08     1.9679697934152e-08
 1.8918650113869e-08    1.8160449908164e-08     1.7409248353470e-08
 1.6668546462021e-08    1.5941257930110e-08     1.5229770807108e-08
 1.4536006731475e-08    1.3861476770347e-08     1.3207333253678e-08
 1.2574417275351e-08    1.1963301754020e-08
 1.9593564200535e-18    4.0753102596255e-17     5.5909708552821e-16
 5.3421720210534e-15    3.7382900978875e-14     2.0022989729304e-13
 8.5338086105259e-13    2.9930752214274e-12     8.8908995156388e-12
 2.2920847659123e-11    5.2353692692860e-11     1.0782039291008e-10
 2.0321600838262e-10    3.5500564821676e-10     5.8109491823450e-10
 8.9952909073989e-10    1.3272518044442e-09     1.8790347285777e-09
 2.5665710578551e-09    3.3976720827853e-09     4.3755288970885e-09
 5.4980678877778e-09    6.7574917512299e-09     8.1401228427752e-09
 9.6266429334359e-09    1.1192764861295e-08     1.2810300016146e-08
 1.4448520960055e-08    1.6075685340519e-08     1.7660563526728e-08
